"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-01T10:40:37.193"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-01T12:51:29.513"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-01T12:57:40.177"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-01T15:08:42.69"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","PINJORE","2019-01-01T16:05:00.32"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-01T16:09:11.873"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-01T16:35:45.037"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-01T16:51:45.87"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-01T16:52:52.72"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-01T17:20:02.59"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-01T17:33:37.233"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-01T18:25:11.767"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","PINJORE","2019-01-01T18:52:57.517"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-01T21:06:27.35"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-02T09:16:24.303"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-02T09:21:04.703"
"0","AGRICULTURE","Others","Others","Government Schemes","HARYANA","PANCHKULA","PINJORE","2019-01-02T11:01:31.247"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-02T11:01:56.41"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-02T11:02:52.21"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-02T12:13:47.077"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-02T12:16:15.31"
"0","AGRICULTURE","Others","Others","Government Schemes","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-02T12:16:30.927"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-02T12:27:51.813"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","PINJORE","2019-01-02T16:31:34.153"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T07:45:16.52"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T08:17:18.817"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T08:17:28.88"
"0","AGRICULTURE","Others","0","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T09:22:15.237"
"0","HORTICULTURE","Condiments and Spices","Garlic","Bio-Pesticides and Bio-Fertilizers","HARYANA","PANCHKULA","PINJORE","2019-01-03T09:34:14.843"
"0","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Nutrition","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T10:45:45.31"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","MORNI","2019-01-03T12:04:03.43"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","MORNI","2019-01-03T12:53:31.943"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T13:21:39.127"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T14:14:35.077"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","HARYANA","PANCHKULA","PINJORE","2019-01-03T16:23:16.23"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","PINJORE","2019-01-03T16:34:24.31"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","HARYANA","PANCHKULA","PINJORE","2019-01-03T16:37:00.017"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T17:23:01"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-03T19:19:49.673"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-04T09:55:09.753"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-04T10:37:13.97"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","MORNI","2019-01-04T11:21:55.673"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-04T11:26:36.197"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-04T13:25:57.33"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-04T13:55:04.513"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-04T14:46:47.783"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-04T16:59:08.3"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-04T17:24:53.1"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-04T17:34:26.77"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-04T17:35:35.66"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","PINJORE","2019-01-04T18:33:46.267"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","MORNI","2019-01-04T19:22:00.273"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-04T20:34:25.217"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-04T20:36:35.12"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","BARWALA","2019-01-05T06:37:16.32"
"0","AGRICULTURE","Others","Others","Weather","HARYANA","PANCHKULA","RAIPUR RANI","2019-01-05T07:18:35.11"
