"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","VALTOHA-15","2019-01-01T08:48:55.473"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T08:48:56.63"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","GANDIWIND-9","2019-01-01T09:24:02.167"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T09:30:59.957"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","BHIKHI WIND-13","2019-01-01T09:52:32.72"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","BHIKHI WIND-13","2019-01-01T11:02:08.867"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T11:14:33.7"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","TARN TARAN","BHIKHI WIND-13","2019-01-01T11:16:54.12"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","PATTI-14","2019-01-01T11:25:15.12"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","BHIKHI WIND-13","2019-01-01T11:36:04.39"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T11:41:43.087"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T11:54:43.833"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","CHOHLA SAHIB-8","2019-01-01T12:05:16.86"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T12:18:26.64"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T12:25:50.017"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T12:57:21.347"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T12:57:50.003"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","PATTI-14","2019-01-01T13:09:56.867"
"0","AGRICULTURE","Others","Others","Nutrient Management","PUNJAB","TARN TARAN","VALTOHA-15","2019-01-01T13:27:28.14"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","BHIKHI WIND-13","2019-01-01T13:30:30.647"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","VALTOHA-15","2019-01-01T13:31:36.323"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T13:42:07.26"
"0","AGRICULTURE","Others","0","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T13:44:48.567"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T14:23:12.397"
"0","AGRICULTURE","Cereals","Wheat","Varieties","PUNJAB","TARN TARAN","BHIKHI WIND-13","2019-01-01T14:36:40.517"
"0","AGRICULTURE","Cereals","Wheat","	Plant Protection	","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T14:56:09.273"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","PATTI-14","2019-01-01T14:56:45.81"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T14:59:23.963"
"0","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","PUNJAB","TARN TARAN","PATTI-14","2019-01-01T15:08:24.577"
"0","AGRICULTURE","Cereals","Wheat","Weed Management","PUNJAB","TARN TARAN","VALTOHA-15","2019-01-01T15:14:58.047"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","GANDIWIND-9","2019-01-01T15:16:15.55"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","CHOHLA SAHIB-8","2019-01-01T15:18:34.72"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","GANDIWIND-9","2019-01-01T15:24:55.723"
"0","AGRICULTURE","Cereals","Wheat","Nutrient Management","PUNJAB","TARN TARAN","VALTOHA-15","2019-01-01T15:44:28.897"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T15:48:15.02"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","PATTI-14","2019-01-01T15:56:44.37"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","TARN TARAN-12","2019-01-01T16:19:35.853"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","GANDIWIND-9","2019-01-01T17:17:37.787"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-01T17:42:37.97"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","NAUSHEHRA PANNUAN-11","2019-01-01T17:56:50.9"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","CHOHLA SAHIB-8","2019-01-01T18:06:48.72"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","NAUSHEHRA PANNUAN-11","2019-01-01T19:02:32.42"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","PATTI-14","2019-01-01T19:06:18.747"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","PATTI-14","2019-01-01T19:19:15.297"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","CHOHLA SAHIB-8","2019-01-01T19:45:32.063"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-02T06:56:27.997"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","CHOHLA SAHIB-8","2019-01-02T07:19:34.813"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","VALTOHA-15","2019-01-02T08:19:57.017"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-02T08:37:15.483"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","KHADUR-SAHIB-10","2019-01-02T09:00:56.62"
"0","AGRICULTURE","Others","Others","Weather","PUNJAB","TARN TARAN","VALTOHA-15","2019-01-02T09:46:53.063"
