"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","Y S R ","CHINTAKOMMA DINNE","2019-01-01T10:10:59.403"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ANDHRA PRADESH","Y S R ","KAMALAPURAM","2019-01-01T10:45:11.213"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","Y S R ","KALASAPADU","2019-01-01T12:39:50.59"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","Y S R ","SIMHADRIPURAM","2019-01-01T13:40:02.63"
"0","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","ANDHRA PRADESH","Y S R ","KALASAPADU","2019-01-01T15:52:36.95"
"0","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ANDHRA PRADESH","Y S R ","MUDDANUR","2019-01-01T16:37:19.183"
"0","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ANDHRA PRADESH","Y S R ","MUDDANUR","2019-01-01T16:41:25.31"
"0","HORTICULTURE","Vegetables","Chillies","Nutrient Management","ANDHRA PRADESH","Y S R ","LAKKIREDDIPALLE","2019-01-01T17:26:43.873"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","Y S R ","LAKKIREDDIPALLE","2019-01-01T17:27:29.177"
"0","HORTICULTURE","Fruits","Banana","Nutrient Management","ANDHRA PRADESH","Y S R ","CHINTAKOMMA DINNE","2019-01-01T20:49:13.943"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","Y S R ","MYDUKUR","2019-01-01T21:19:52.56"
"0","HORTICULTURE","Vegetables","Onion","Market Information","ANDHRA PRADESH","Y S R ","MYDUKUR","2019-01-02T08:17:41.41"
"0","HORTICULTURE","Fruits","Melon","	Plant Protection	","ANDHRA PRADESH","Y S R ","CHITVEL","2019-01-02T08:38:25.793"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","Y S R ","LAKKIREDDIPALLE","2019-01-02T13:01:51.253"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","Y S R ","SAMBEPALLE","2019-01-02T13:15:42.047"
