"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","BELUGUPPA","2019-01-01T10:18:56.413"
"0","HORTICULTURE","Fruits","Melon","Seeds and Planting Material","ANDHRA PRADESH","ANANTPUR","BATHALAPALLE","2019-01-01T10:38:58.99"
"0","HORTICULTURE","Flowers","Tuberose","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","SINGANAMALA","2019-01-01T11:08:18.17"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","KALYANDRUG","2019-01-01T11:14:29.88"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","BELUGUPPA","2019-01-01T13:50:14.52"
"0","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-01T15:26:39.14"
"0","AGRICULTURE","Others","Others","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","YADIKI","2019-01-01T15:53:38.93"
"0","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","YADIKI","2019-01-01T17:24:13.893"
"0","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Sowing Time and Weather","ANDHRA PRADESH","ANANTPUR","GARLADINNE","2019-01-01T17:34:23.707"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Nutrient Management","ANDHRA PRADESH","ANANTPUR","BUKKAPATNAM","2019-01-01T17:55:11.183"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ATMAKUR","2019-01-01T18:21:48.12"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","AMARAPURAM","2019-01-01T18:25:17.337"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","KUDAIR","2019-01-01T20:36:53.087"
"0","HORTICULTURE","Vegetables","Watermelon","Cultural Practices","ANDHRA PRADESH","ANANTPUR","KALYANDRUG","2019-01-02T08:16:09.903"
"0","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","PAMIDI","2019-01-02T08:35:37.003"
"0","HORTICULTURE","Vegetables","Watermelon","Fertilizer Use and Availability","ANDHRA PRADESH","ANANTPUR","BRAHMASAMUDRAM","2019-01-02T08:43:23.163"
"0","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","ANDHRA PRADESH","ANANTPUR","KOTHACHERUVU","2019-01-02T08:51:26.367"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Nutrient Management","ANDHRA PRADESH","ANANTPUR","NARPALA","2019-01-02T08:53:45.333"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","URAVAKONDA","2019-01-02T09:21:54.22"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","BRAHMASAMUDRAM","2019-01-02T10:56:59.003"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","BUKKAPATNAM","2019-01-02T11:52:21.083"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Nutrient Management","ANDHRA PRADESH","ANANTPUR","BUKKAPATNAM","2019-01-02T11:53:17.37"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Nutrient Management","ANDHRA PRADESH","ANANTPUR","BUKKAPATNAM","2019-01-02T11:59:36.347"
"0","HORTICULTURE","Fruits","Mango","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","BUKKAPATNAM","2019-01-02T12:34:02.617"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","KUDAIR","2019-01-02T13:02:04.827"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","KUDAIR","2019-01-02T13:02:43.297"
"0","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","NARPALA","2019-01-02T13:15:25.243"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","ANDHRA PRADESH","ANANTPUR","BELUGUPPA","2019-01-02T14:35:01.597"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","AMADAGUR","2019-01-02T14:38:51.03"
"0","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Seeds","ANDHRA PRADESH","ANANTPUR","GUNTAKAL","2019-01-02T15:08:17.34"
"0","HORTICULTURE","Fruits","Mango","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","SINGANAMALA","2019-01-02T15:32:22.017"
"0","AGRICULTURE","Millets","Kodo Millet (Kodara/Varagu)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","AMADAGUR","2019-01-02T15:37:02.51"
"0","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","ANDHRA PRADESH","ANANTPUR","GUNTAKAL","2019-01-02T16:20:15.073"
"0","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","DHARMAVARAM","2019-01-02T16:52:13.25"
"0","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","ANDHRA PRADESH","ANANTPUR","BUKKARAYASAMUDRAM","2019-01-02T17:39:02.747"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","KADIRI","2019-01-02T17:40:53.71"
"0","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Sowing Time and Weather","ANDHRA PRADESH","ANANTPUR","URAVAKONDA","2019-01-02T18:27:28.817"
"0","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Seeds","ANDHRA PRADESH","ANANTPUR","URAVAKONDA","2019-01-02T18:36:14.64"
"0","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","ANDHRA PRADESH","ANANTPUR","URAVAKONDA","2019-01-02T18:43:11.637"
"0","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","ANDHRA PRADESH","ANANTPUR","MUDIGUBBA","2019-01-02T18:48:13.05"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ATMAKUR","2019-01-02T18:58:19.4"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-02T19:07:10.793"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","AMARAPURAM","2019-01-02T19:14:04.45"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ATMAKUR","2019-01-02T19:17:48.19"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","AMADAGUR","2019-01-02T21:03:01.103"
"0","HORTICULTURE","Vegetables","Tomato","Nutrient Management","ANDHRA PRADESH","ANANTPUR","RAPTADU","2019-01-03T07:35:47.563"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","AMARAPURAM","2019-01-03T10:22:16.45"
"0","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","ANDHRA PRADESH","ANANTPUR","TADIPATRI","2019-01-03T11:22:17.663"
"0","AGRICULTURE","0","0","Market Information","ANDHRA PRADESH","ANANTPUR","VAJRAKARUR","2019-01-03T11:38:28.997"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","OBULADEVARECHERUVU","2019-01-03T11:55:02.683"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T12:09:15.187"
"0","HORTICULTURE","Fruits","Mango","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","RODDAM","2019-01-03T12:15:54.49"
"0","HORTICULTURE","Fruits","Mango","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","RODDAM","2019-01-03T12:25:15.71"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","AMADAGUR","2019-01-03T14:21:02.743"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","RAPTADU","2019-01-03T14:33:15.38"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","RAPTADU","2019-01-03T14:33:46.97"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","BELUGUPPA","2019-01-03T14:55:33.37"
"0","HORTICULTURE","Vegetables","Tomato","Nutrient Management","ANDHRA PRADESH","ANANTPUR","BELUGUPPA","2019-01-03T14:56:21.01"
"0","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","SINGANAMALA","2019-01-03T15:28:38.037"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","NARPALA","2019-01-03T16:50:20.827"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","YADIKI","2019-01-03T16:56:38.76"
"0","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","YADIKI","2019-01-03T17:02:06.397"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","MUDIGUBBA","2019-01-03T17:10:52.233"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","NARPALA","2019-01-03T17:15:53.693"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","MUDIGUBBA","2019-01-03T18:01:50.917"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","DHARMAVARAM","2019-01-03T18:41:08.837"
"0","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","DHARMAVARAM","2019-01-03T19:00:02.273"
"0","HORTICULTURE","Vegetables","Tomato","Nutrient Management","ANDHRA PRADESH","ANANTPUR","KUDAIR","2019-01-03T19:18:21.03"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","DHARMAVARAM","2019-01-03T20:14:59.723"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","GUNTAKAL","2019-01-03T21:08:54.73"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:10:16.447"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:10:18.52"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:17:38.2"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:17:42.737"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:11.457"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:12.503"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:12.567"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:13.407"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:13.487"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:13.563"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:15.2"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:15.297"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:15.373"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:16.42"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:16.7"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:17.37"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:17.667"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:17.963"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","ANANTAPUR","2019-01-03T21:18:22.44"
"0","HORTICULTURE","Fruits","Citrus","Fertilizer Use and Availability","ANDHRA PRADESH","ANANTPUR","YELLANUR","2019-01-04T08:30:20.367"
"0","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","NALLACHERUVU","2019-01-04T09:17:23.843"
"0","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Sowing Time and Weather","ANDHRA PRADESH","ANANTPUR","PEDDAPAPPUR","2019-01-04T10:22:11.87"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","PENUKONDA","2019-01-04T10:38:33.47"
"0","AGRICULTURE","Others","Others","Government Schemes","ANDHRA PRADESH","ANANTPUR","PAMIDI","2019-01-04T10:39:00.583"
"0","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","SINGANAMALA","2019-01-04T10:56:27.673"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","NARPALA","2019-01-04T11:57:51.507"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","NARPALA","2019-01-04T12:00:45.807"
"0","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","KUDAIR","2019-01-04T13:20:17.853"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","ANDHRA PRADESH","ANANTPUR","SINGANAMALA","2019-01-04T14:41:36.993"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","MUDIGUBBA","2019-01-04T14:53:22.617"
"0","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","URAVAKONDA","2019-01-04T15:17:11.17"
"0","AGRICULTURE","Others","Others","Weather","ANDHRA PRADESH","ANANTPUR","MUDIGUBBA","2019-01-04T16:12:14.26"
"0","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Market Information","ANDHRA PRADESH","ANANTPUR","ATMAKUR","2019-01-04T16:47:27.207"
"0","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ANDHRA PRADESH","ANANTPUR","GOOTY","2019-01-04T16:47:56.77"
