"Season","Sector","Category","Crop","QueryType","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Others","Others","Weather","MAHARASHTRA","AMRAVATI","NANDGAON KH","2019-01-01T07:34:21.503"
"0","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","MAHARASHTRA","AMRAVATI","ACHALPUR","2019-01-01T08:57:19.003"
"0","AGRICULTURE","Others","Others","Organic Farming","MAHARASHTRA","AMRAVATI","ACHALPUR","2019-01-01T09:15:35.19"
"0","HORTICULTURE","Fruits","Orange","Nutrient Management","MAHARASHTRA","AMRAVATI","BHATKULI","2019-01-01T09:17:11.52"
"0","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","MAHARASHTRA","AMRAVATI","DARYAPUR","2019-01-01T09:38:09.137"
"0","HORTICULTURE","Fruits","Orange","	Plant Protection	","MAHARASHTRA","AMRAVATI","CHANDUR BZ","2019-01-01T12:38:33.43"
"0","AGRICULTURE","Others","Others","Market Information","MAHARASHTRA","AMRAVATI","BHATKULI","2019-01-01T12:55:22.677"
"0","AGRICULTURE","Others","Others","Government Schemes","MAHARASHTRA","AMRAVATI","ANJANGAON S","2019-01-01T12:57:28.197"
"0","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Nutrient Management","MAHARASHTRA","AMRAVATI","CHANDUR BZ","2019-01-01T13:39:53.787"
"0","AGRICULTURE","Others","Others","Market Information","MAHARASHTRA","AMRAVATI","CHANDUR RIL","2019-01-01T13:50:08.403"
"0","AGRICULTURE","Others","Others","Market Information","MAHARASHTRA","AMRAVATI","CHANDUR RIL","2019-01-01T13:51:43.19"
"0","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","MAHARASHTRA","AMRAVATI","WARUD","2019-01-01T14:34:44.123"
"0","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Fertilizer Use and Availability","MAHARASHTRA","AMRAVATI","ANJANGAON S","2019-01-01T14:47:57.117"
"0","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","MAHARASHTRA","AMRAVATI","DARYAPUR","2019-01-01T15:34:51.157"
